userName,score,at,content
Ghazi Alghifari,2,2026-03-20 07:20:58,aplikasi jelek gw udh ganti email terus pas gw resend email malah GK muncul email discord nya dasar apk penipu👎
Muhammad Faiz hamizan,1,2026-03-20 05:58:35,"tidak bisa registrasi padahal data sudah masuk, perbaiki dulu sebelum launcing"
RamnZyIsHereツ,3,2026-03-20 05:28:28,terkadang mau kirim forum selalu error padahal sinyal kuat mohon tolong diperbaiki.
Sartika Dita,5,2026-03-20 05:27:59,bagus aja
Khumaira Aprilia,3,2026-03-20 04:56:07,kadang² kalo telp gaada suaranya
Velynn,2,2026-03-20 04:52:22,so many bug af
Hasniati Hasni,5,2026-03-20 00:49:03,"mempermudah untuk berkumpul dengan teman, luar biasa"
naufal anshary,1,2026-03-20 00:01:48,"""I was trying to create an account and it asked me to verify I'm not a robot, but I've done it like 50 times already. What the hell? What is that even supposed to mean? You really think I'm a robot? Damn 😭😭😭😭"""
Yorichi Tsugikuni,2,2026-03-19 21:29:35,ini saya login ga bisa² padahal saya akunya sudah ada pas di loginin gak bisa dan bacaan akun dan pasword tidak di temukan pas saya buat akun baru dari email lama itu tidak bisa Karena akun sudah ada dan pas saya login kembali tidak bisa karena akun tidak ada mohon pengertiannya!
Okti Yani,3,2026-03-19 20:33:06,tolong fix bug login lah cape udah masukin usn sama pw ga bisa login terus
nurr,1,2026-03-19 14:54:45,apk jelek g bisa masukin no telpon
lorensius gah,1,2026-03-19 13:13:08,tempat para pengambil akun orang ya di apk ini
Harry dwi Prasetyo X Ips 5,5,2026-03-19 13:02:44,keren
Najwa Afifah,5,2026-03-19 12:34:03,"bagus banget, gue disini dapet cowo banyak"
Magenda Nusa,1,2026-03-19 09:58:42,"saya ingin login ke akun saya tapi saya lupa password. saya sudah reset² password saya berkali kali. tapi malah muncul ""new login detected"" dan pas saya cek. itu hanya email untuk saya mengganti password saya. padahal saya sudah mencoba untuk mengganti password."
Rifqy Aufa Rosyidi,4,2026-03-19 08:56:00,kebanyakan bug di vertifykasi
MWG_ TUTURU,5,2026-03-19 07:35:48,sangat membantu saya dalam bermain game untuk komunikasi
Riantika Gendis Purnomo,5,2026-03-19 07:25:03,"hmm, suka aja si. bisa kenalan dengan banyak orang, bisa voice call dengan yg lain, tx yh🤌🏻"
Cornetto,5,2026-03-19 04:32:38,"recomend bgt buat yg suka mabar, orang nya juga ramah plus asik bgt"
Lyndha Olshop,1,2026-03-19 04:18:09,"Minta update, m-mulu HBSin kuota.. otw hapus atuh•!🙏🥺"
Faras Ramadhan,5,2026-03-19 02:14:01,Bagus dan Religius
kiky rizkiah,1,2026-03-19 01:33:26,parah ga bs login
Chika Almira,5,2026-03-18 23:41:14,seru
Jrmy Sng,5,2026-03-18 21:57:23,keren
Ervan Setiawan,5,2026-03-18 21:45:57,awesome
Mearchvel Birllyッ,1,2026-03-18 21:26:13,"bug log in, ada log out buat check pw pas masukin email, nomor invalid, pw juga. nak pake forgot password invalid, semua invalid bug sana sini gimana nak log in"
Email PTK Dapodik,1,2026-03-18 21:25:03,tetaplah semakin tdk berguna
Raffi Cakra,1,2026-03-18 17:32:32,SAYA TIDAK BISA LOGIN! KARNA SAYA SUDAH MENGIKUTI INTRUKSI TAPI MALAH VALID !!
Furqon Febrian,1,2026-03-18 15:16:42,bingungin bikin pusing
Riku,5,2026-03-18 12:36:35,gokil
Asep,1,2026-03-18 11:44:03,"BUG JMBD AKUN KU HILANG GARA GARA TIAP LOGIN SELALU KELUAR, UPDATE APA APAAN KAYA GINI, BANYAK TEMEN KU DI AKUN SITUU"
TB RIZQI,1,2026-03-18 08:29:40,makin lama makin ngelag
N. Kumalla.S,1,2026-03-18 05:27:18,kenapa saya tidak bisa mengirim pesan di aplikasi tersebut tolong diperbaiki ya
Andry Kurni,1,2026-03-18 03:51:08,"Aneh, ku mau join server orang gabisa terus stack disitu situ aja discord nya"
Vira Luvi,1,2026-03-17 23:57:48,waktu itu saya pernah logout dan sekarang saya ingin login kembali ke akun saya tapi tidak bisa² sudah saya coba 1 jam an sama sekali ga bisa gimana caranyaa woii
Rem -Chan,1,2026-03-17 22:44:12,Ini Kenapa Aplikasi nya Lemot banget Untuk Upload Video dan Photo Bukti Ada Cheater Di Permainan Roblox Mode Permainannya: Simulator Pelatihan Bola Api Server Discord nya Ngelag Parah Sampai Invalid
Isma Binmail,5,2026-03-17 22:28:22,good
Aliya Pku,1,2026-03-17 22:22:09,"saya tida tau kenapa saat saya masuk ke dalam aplikasi tiba"" meminta verify tapi tetap saya isi namun saat pembagian code saya tidak dpt notifikasi dari pesan yg mengirim kan code ,lalu saya cari jalan lain namun tetap tida bisa ,banyaknya bug yang membuat saya kesal dan tidak senang ,tolong di perbaiki lagi jangan sampai seperti ini lagi pada orang"""
Adly Aja,1,2026-03-17 17:36:04,"mohon aplikasi ini di benerin lagi, karna saat saya login menggunakan nomor telepon di suruh verifikasi email. dan saat saya masukan email ada pesan yang bertuliskan email already registered dan invalid email. mohon sekali untuk di perbaiki lagi karna saya dari jam 10 malam hingga jam 1 malam saya belum tidur"" karna mengurus email di discord!"
Ozy Boys,1,2026-03-17 16:14:44,sayaa benci discord karna saya gabisa kasii pesan bintang!
Uzumaki Zryee,4,2026-03-17 14:05:17,"tolong perbaiki pas loginya kayak banyak bug, udah di continue bukan robot malah balik lagi ke awal, jadi susah loginya tolong perbaiki pas loginya udah ganti sandi Ama Gmail, tetep aja sama GK bisa login tolong perbaikin emang bagus sih aplnya TPI jgn banyak bug juga pas mau loginya😀"
Rendomain109 Rendomain109,5,2026-03-17 11:18:52,jujur bagus kali ya keren mantap rawrr
Khahfi Annizar,1,2026-03-17 10:58:15,hey kita itu manusia woi kenapa enggak bisa login aku pakai email woi sudah mabokkah kamu hah
Donald Siregar,4,2026-03-17 09:58:50,"apk ini cukup bagus untuk mencari teman/sahabat,cuma satu kekurangannya negara indonesia tidak tercantum dan untuk terjemahannya ke bahasa indonesia tidak ada. seharusnya apk Discord ini dibuatkan chanel untuk indonesia,terimakasih."
arli mangule,1,2026-03-17 09:05:13,"setiap buat akun baruu selalu di suruh verifikasi nomer giliran mau verifikasi nomer malah gabisa, giliran login pake nomer di suru verifikasi Gmail pas mau verifikasi Gmail gabisa jugaa anehhh"
doni marbun,4,2026-03-17 08:41:05,agak lama login ya tapi mantap lah jadi saya kasih bintang 4 aja
gazaalaqso,5,2026-03-17 05:43:06,sangat keren
Annisa Nur Fatimah,5,2026-03-17 04:38:37,bisa chat ama temen
