score,at,content_stemmed
2,2026-03-20 23:53:54,developer hormat aju keluh kurang pilih bahasa mode terjemah translate saran developer bahasa indonesia mode terjemah translate mudah guna komunikasi bahasa beda ok sekian salah mohon maaf sekian terimakasih
1,2026-03-20 18:54:46,login daftar akun
1,2026-03-20 10:03:11,masukin no telpon email kali bilang salah coba bilang udah bikin akun pake email no telpon kaya pake loginnya hah pake telur dinosaurus boleh
2,2026-03-20 07:20:58,jelek gw udh ganti email pas gw resend email muncul email nya dasar apk tipu
1,2026-03-20 05:58:35,registrasi data masuk baik launcing
3,2026-03-20 05:28:28,terkadang kirim forum error sinyal kuat mohon tolong baik
5,2026-03-20 05:27:59,bagus
3,2026-03-20 04:56:07,kadang telp gaada suara
5,2026-03-20 00:49:03,mudah kumpul teman
2,2026-03-19 21:29:35,login bisa aku pas loginin baca akun pasword temu pas akun email akun pas login akun mohon erti
3,2026-03-19 20:33:06,tolong fix bug login cape udah masukin usn pw login
1,2026-03-19 13:13:08,ambil akun orang ya apk
5,2026-03-19 12:34:03,bagus banget gue dapet cowo
1,2026-03-19 09:58:42,login akun lupa password reset password kali kali muncul new login detected pas cek email ganti password coba ganti password
4,2026-03-19 08:56:00,banyak bug vertifykasi
5,2026-03-19 07:35:48,bantu main game komunikasi
5,2026-03-19 07:25:03,hmm suka si kenal orang voice call tx yh
5,2026-03-19 04:32:38,recomend banget suka mabar orang nya ramah plus asik banget
1,2026-03-19 04:18:09,update m mulu hbsin kuota otw hapus atuh
5,2026-03-19 02:14:01,bagus religius
1,2026-03-19 01:33:26,parah bs login
5,2026-03-18 23:41:14,seru
1,2026-03-18 21:26:13,bug log in log out check pw pas masukin email nomor invalid pw nak pake forgot password invalid invalid bug gimana nak log in
1,2026-03-18 21:25:03,tetap guna
1,2026-03-18 05:27:18,kirim pesan tolong baik ya
1,2026-03-18 03:51:08,aneh ku join server orang gabisa stack situ situ nya
1,2026-03-17 23:57:48,logout login akun bisa coba jam an gimana caranyaa woii
1,2026-03-17 22:44:12,nya lot banget upload video photo bukti cheater main roblox mode main simulator latih bola api server nya ngelag parah invalid
1,2026-03-17 22:22:09,tida tau masuk verify isi bagi code dpt notifikasi pesan kirim code cari jalan tida banyak bug kesal senang tolong baik orang
1,2026-03-17 17:36:04,mohon benerin karna login nomor telepon suruh verifikasi email masuk email pesan tulis email already registered invalid email mohon baik karna jam malam jam malam tidur karna urus email
1,2026-03-17 16:14:44,sayaa benci karna gabisa kasi pesan bintang
4,2026-03-17 14:05:17,tolong baik pas log kayak bug udah continue robot susah log tolong baik pas log udah ganti sandi ama gmail tetep login tolong perbaikin emang bagus sih aplnya tpi jgn bug pas log
5,2026-03-17 11:18:52,jujur bagus kali ya keren mantap rawrr
1,2026-03-17 10:58:15,hey manusia woi login pakai email woi mabokkah hah
4,2026-03-17 09:58:50,apk bagus cari teman sahabat kurang negara indonesia cantum terjemah bahasa indonesia apk buat chanel indonesia terimakasih
1,2026-03-17 09:05:13,akun baruu suruh verifikasi nomer gilir verifikasi nomer gabisa gilir login pake nomer suru verifikasi gmail pas verifikasi gmail gabisa jugaa anehhh
4,2026-03-17 08:41:05,login ya mantap kasih bintang
5,2026-03-17 05:43:06,keren
5,2026-03-17 04:38:37,chat ama temen
1,2026-03-17 02:11:03,verifikasi nomor ponsel
5,2026-03-17 01:49:18,keren mabar hayogo
5,2026-03-16 23:08:18,bagus
3,2026-03-16 16:48:54,tolong baik masuk nama email password nya gmail password invalid tolong baik
3,2026-03-16 15:27:27,suara nya masuk dc
1,2026-03-16 15:17:14,bug ulang
1,2026-03-16 14:07:48,login akun hapus tau aman tolong manusia robot code bilang salah teman hilang plis biar pakai qr code scan ponsel coba verifikasi ponsel kecewa hubung bantu balas disc
1,2026-03-16 06:49:25,bintang susah banget log in
5,2026-03-16 04:53:15,bagus banget cocok komunikasi developer roblox
1,2026-03-15 17:43:34,si sengaja beli langgan nya ilangin ganti duit temen k fitur langgan nya ilangin nyusahin
1,2026-03-15 16:26:47,woi log in email nya udah bener password udah bener
1,2026-03-15 14:32:15,login ulang karna hp hilang lupa nih password nya klik lupa password nya kirim verifikasi tuh gmail password cerita nya udah pilih option lupa pasword gimana sih akun udah temen nya gamau bikin akun tolong orang login ulang sign up susahin gimana sih
1,2026-03-15 11:57:32,nitro gratis kau janji hah
5,2026-03-15 11:27:49,mudah dgunakn fitur lengkap bagus
1,2026-03-15 07:37:19,males verifikasi nya pake email gabisa
1,2026-03-15 07:22:54,verif email diapkai nomor
5,2026-03-15 06:43:37,manfaat komunikasi
1,2026-03-15 02:58:34,sya ksi bintang karna login susahh banget ribett moohoon baik plcc
4,2026-03-15 00:31:42,tolong adakan koneksi instagram please
5,2026-03-14 22:09:42,guna memdapat informasi cepat update game
1,2026-03-14 17:34:02,apa panteq login bintang
1,2026-03-14 15:14:54,akun kena suspend permanen beli animasi sejumalah rp nyata suspend permanen
1,2026-03-14 14:54:32,log in masalah orang alami nya
5,2026-03-14 14:41:27,dapet temen njir
2,2026-03-14 14:38:32,moga not developer nya sosmed favorit sayang banget bug contoh channel mute muncul notifnya opsi sembunyi channel mute fitur fungsi contoh server terus tag tolak
1,2026-03-14 12:25:50,woylah gw login pakek akun dc gw
1,2026-03-14 11:06:06,sih nih apk gua udah nyobain log in kali kali masuk masuk sampe gua main
5,2026-03-14 10:51:43,seru temen
1,2026-03-14 09:30:26,banget udah email sm password masuk apk ya web
1,2026-03-14 03:50:19,log in udah bener
5,2026-03-14 02:04:11,baik gatau make nya
1,2026-03-13 21:32:17,judul update sampah fitur call nggak isi ulas maksud ya update sistem call kayak voice channel gin nelpon orang masuk ruang tunggu nggak notifikasi masuk hp lawan bicara nggak nada dering bener bener kayak nungguin janji nggak fitur telepon nggak notifikasi paksa muncul layar pop up kasih panggil masuk orang main game a
1,2026-03-13 20:57:31,untuk developer ya si lu ganti nama lu singkat gw main roblox ya do you have dc blue sensor mulu sial salah elu salah roblox nya nama dis cord disalahgunakan bahasa ganti singkat gitu kek nama
1,2026-03-13 18:23:23,sumpah bikin ribet
5,2026-03-13 15:52:53,bagus banget suka dehh
2,2026-03-13 13:50:22,kasih bintang knp akun tiba log out log out akun lupa sandi nya coba lupa sandi terima kode verifikasi kasih nya udh tunggu menit akun mudah kode verifikasi knp terima kode verifikasi sms
5,2026-03-13 13:07:05,perfect suka berkomikasi tim ff ngelek deh
5,2026-03-13 13:00:40,udh bagus coba tambahin filter tiktok it s good but try adding a tiktok filter
1,2026-03-13 12:42:49,banget kendala login
4,2026-03-13 11:35:17,enak boros kuota
5,2026-03-13 10:23:25,cinta rena mudah whatsapp
5,2026-03-13 09:06:14,platform komunikasi baik komunitas gamer fitur voice chat nya jernih minim delay bantu koordinasi main suka sistem kelola servernya rapi channel teks suara kategori fitur bagi layar screen share integrasi lancar antarmuka modern fleksibel obrol santai bangun komunitas wajib t
1,2026-03-13 07:01:36,gw capek nih udah mah gw join grup server kayak emg ush dimainin capek cok gw join server butuh verifikasi email chat sebernya gw hasil login jalan lancar pas minggu gw suruh verifikasi email chat pas foto video download langsung hapus foto gw abis download ngedit gw dah uninstall
1,2026-03-13 06:19:56,maulogin akun tata pasword salah valid kasih masuk pasword gail sungu kecewa
1,2026-03-12 15:59:19,microphone nya rusak panggil masuk
1,2026-03-12 15:09:24,kgk verifikasi mulu dah ni x send code kgk mulu
3,2026-03-12 14:02:28,platform dana bayar devplover upgrade bahasa indonesia hey bilang wawas negara guna internet nya
2,2026-03-12 14:01:37,cuman download nya hype nya seru kayak cuman social media susah log udah pencet forget password email dosent exist email udah bener loh worth it ku
3,2026-03-12 14:00:58,notifi kasi buruk
1,2026-03-12 10:05:18,fitur share screen nya login nya susah udah pake password tapai
5,2026-03-12 09:33:59,apik tenan pokok e
3,2026-03-12 05:21:15,join server home mohon baik ya
2,2026-03-12 03:59:31,ngebut update
4,2026-03-12 03:55:00,video
1,2026-03-12 03:38:11,premium mahal guna
1,2026-03-12 01:23:13,sampah bahasa indonesia
1,2026-03-11 23:31:48,udah masukin email pasword login kagak mohon baik
1,2026-03-11 22:39:47,halo tim alami login kirim kode verifikasi masuk akun coba kali terima kode mohon bantu ecek bantu atas terima kasih
2,2026-03-11 18:05:00,benerin bug mental dc voice menit langsung pental an cuman kali
5,2026-03-11 16:40:02,bagus teman
1,2026-03-11 15:55:07,jujur sungguh kecewa kemarin dc nitro trial guna trus ambil trial nya tuh minggu iseng ambil trial ya gratis trus buka dc bulan gitu isi saldo eh saldo nya potong k sungguh aneh langsung cek riwayat trnyta mksudnya gimana yak ngasih gratis ujung nya sedot dana guna tolong reffund dana k
1,2026-03-11 14:48:27,sampah kode verifikasi kirim
1,2026-03-11 14:19:42,sampah gw udh atas kena batas
5,2026-03-11 13:11:45,asik coy dpt tmn
4,2026-03-11 06:55:52,bagus main teman
1,2026-03-11 06:01:26,kadang bug suara muncul denger bintang
1,2026-03-10 16:30:54,ngebug masuk ngestuck dll hp gw uda bagus
1,2026-03-10 14:24:24,dengar suara voice share screen gua ngomong kaya orang gila
1,2026-03-10 12:34:09,login ribet terjemah bahasa lengkap
5,2026-03-10 11:54:30,bagus main bareng teman komunikasi bareng temen
1,2026-03-10 10:18:54,youtuber pakai atur udah masuk please biar ngobrol youtuber
1,2026-03-10 09:45:23,tolong donggg akun pencet uninstall lupa password pencet forgot password nya bilang direset lepas masukin password account dettect gitu habis ganti password kaya gitu pngnnn akun ku plis yaa nang
2,2026-03-10 08:42:54,kikirrrrr pelit banget sih developer stiker doang bayar coba gifnya hehe trus buay yag halaman profile keren kah nih w kasih yw stiker jan bayar napa plus kasih tambah custom stiker cutom stiker bayaar klostiker bwaan mah cuman gitu loh
1,2026-03-10 08:20:16,bintang log in sandi simpan tulis buku email no ponsel log in jelek banget layak sandang bidang
5,2026-03-10 05:04:40,voice hadiah
1,2026-03-09 22:43:12,suka ceo fitur verifikasi baru
1,2026-03-09 20:24:30,masuk server minecraft kena disable i m always come back
1,2026-03-09 18:38:14,jelek registrasi bahasa aneh
2,2026-03-09 17:55:03,kesini aneh suka keluar kadang gada suara orang ngeleg ngeleg tolong
3,2026-03-09 15:43:15,bagus bahasa indonesia atur pusing orang bahasa kali buka
2,2026-03-09 15:15:43,ngikutin komunitas gitu event adain sempat dapet merchandise ngirim foto pesan doang upload ngilang udah kali coba hilang salah gaada kirim kek gin kirim kecewa banget
5,2026-03-09 08:43:46,what the hell gua cuman baca baca tulis menit udah download
5,2026-03-09 05:40:44,mantap ane login akun ane sandi nama udah bener udah simpan googl tetep gg
4,2026-03-09 05:01:50,nggk tau makenya
5,2026-03-09 04:15:14,tolong tambah bahasa indonesia
1,2026-03-09 02:58:53,suka bug
5,2026-03-08 23:40:00,aatujuan
1,2026-03-08 20:46:37,notifikasi telpon muncullll
5,2026-03-08 17:45:54,menginstal apk liat rate dapat org apk apk bagus
5,2026-03-08 15:43:24,suka banget apk cari temen dll
1,2026-03-08 15:38:08,tolong baik bug akun ilang akun hilang register login masuk password email dll dua gagal hilang hasil ngulang akun bug bener bener ngeselin tolong baik
5,2026-03-08 13:54:35,bagus bantu anak broken home bantu informasi game bagus bagus
1,2026-03-08 13:45:43,log in lupa password pas klik forget password impossible log in akun lupa akun gmail pake passkey suruh pake device tolong baik org keluh login gmail nya eks salah pw nya ganti dasar aneh
5,2026-03-08 13:04:47,baik cari teman hobi gaming ajar bahasa pemrograman komunitas cinta kucing foto profil yanto screenshot gabung server dunia
3,2026-03-08 12:56:30,aneh nya masuk
3,2026-03-08 11:46:35,nyaman login alami kendala kali login ready password nya mohon baik terimakasih
5,2026-03-08 11:40:38,tarik kenal ajar
5,2026-03-08 07:38:01,apk hebat
5,2026-03-08 06:57:09,saran kasih bahasa indonesia
1,2026-03-08 06:08:56,guna
1,2026-03-08 05:56:26,login banget email pw emg
3,2026-03-08 04:55:58,tolong login suruh masukin alamat email
1,2026-03-08 04:41:25,update in tuh lag lag mulu jaring gw aman aman gajelas
1,2026-03-08 03:32:34,banget update kali login akun puqi
4,2026-03-08 02:56:34,bagus dapetin item gratis diroblox
5,2026-03-08 02:33:16,gw kasih bintang ya sih
1,2026-03-08 00:32:04,pas login tuh susah banget udah ulang kali kali
2,2026-03-07 16:54:33,tolong baik gimana masuk nomor telepon email
5,2026-03-07 16:38:14,pokok
1,2026-03-07 15:51:18,ini ken akun pas verifikasi karna robot tuh kasih puzzle udah selesain eh selesain sistem spam ya tolong baik
1,2026-03-07 14:43:20,gua voice suka benerin capek bulak dc join voice
1,2026-03-07 14:22:36,login email no hp
1,2026-03-07 09:25:21,jelek bikin akun mental anah
1,2026-03-07 08:41:01,jelek
3,2026-03-07 07:22:10,suruh verifikasi nomor telepon kode verifikasi kirim sms kirim tunggu main teman developer please read this as soon as possible
1,2026-03-07 06:53:41,login anjir
2,2026-03-07 04:50:57,bagus sih login masalah
1,2026-03-07 01:31:37,akun
1,2026-03-07 00:58:57,susah login otp masuk masuk sms tolong kuat password nya ribet banget
3,2026-03-07 00:53:26,top kadang bug harga nitro sering lah adakan diskon
1,2026-03-06 23:01:04,kgk masuk jier jdi mls gw make ni gara gara kgk masuk riski cepat
1,2026-03-06 21:33:41,login register
2,2026-03-06 17:46:01,akun masukin no code nya bngtt muncul nya udah coba ulang kali ngecek wifi normal code nya muncul no
5,2026-03-06 17:05:29,bagus bangettttt
1,2026-03-06 14:01:14,login susah masuk server susah sulit pokok
1,2026-03-06 13:56:04,haram
4,2026-03-06 13:45:40,gatau knp suka
4,2026-03-06 13:08:40,cantik sih suka
1,2026-03-06 12:26:21,gajelas pas voice gada suara pdhl udh setting bner
1,2026-03-06 12:01:30,tolong bug perangkat hp baik akun informasi nya sesuai cepattttttttt
2,2026-03-06 08:39:01,mohon maaf tolong isi sandi lupa baru pake sandi moga baca maaf salah yah kak
1,2026-03-06 08:31:07,mintol baik udah nyoba login kali kali ganti akun engga login
5,2026-03-06 05:38:18,apk guna
1,2026-03-05 22:14:14,gimana sih gabisa login temen bilang aman pas kirim pesan failed nyoba logout eh loginnya gabisa tulis not your fault sampe gabisa
5,2026-03-05 22:09:04,keren gg cihuy
1,2026-03-05 22:04:46,akun logout langsung hilang bolak ganti akun susah masuk disc nya eror tolong milik teman disc hilang baik nya pakai bot manusia
1,2026-03-05 22:01:35,terkadang suara pantul noise ganggu
5,2026-03-05 20:22:52,seruuuu chattan temen mabar temen voice chat dll mudah komunikasi orang
5,2026-03-05 18:40:16,tolong adakan terjemah otomatis obrol pesan
3,2026-03-05 15:41:49,mudah chating
1,2026-03-05 15:25:11,telfon mati cewe ku sendiriann malem
2,2026-03-05 15:09:01,deteksi robot nya benerin gw bener salahin
1,2026-03-05 14:17:42,login akun tolong baik
1,2026-03-05 11:42:58,tolong baik error rare karna mendownload tiba tanda buat komunikasi teman janji main teman
1,2026-03-05 11:18:11,susah login akun
1,2026-03-05 10:57:34,pas tanggal maret gue chat chat warna teks pudar kirim server udah nyoba versi dekstopnya hp rumah chat liat gambar temen gue gitu
1,2026-03-05 10:08:10,koneksi lancar main game lancar buka ngebug internet
1,2026-03-05 09:17:22,cacat gimana susah daftar kondisi jaring stabil kena eror mulu
1,2026-03-05 08:19:26,gabisa kirim message orang ya message orang masuk udah logout trus coba masuk gabisa tolong baik ya kesel banget ganggu gin nunggunya
4,2026-03-05 06:10:36,dapet nitro gratisssss engga dapet
1,2026-03-05 05:55:52,suka login meding install
4,2026-03-05 05:31:29,tarik
1,2026-03-05 04:45:34,main catur jelek eror jahat main pilih kasih cuihhh
5,2026-03-05 02:57:06,akun gimna ya
5,2026-03-05 02:23:13,baca minnnn ihhh sihh pas verifikasi nomor hp kirim sms kode nya kirim kirim sihh baik cepat plissss jengkel gue wehhh banget inihhhhh
1,2026-03-05 00:16:40,pas akun kagak jelek
1,2026-03-04 21:25:54,banned banned mulu ya anj kocak ngapa ngapain jing voice doang itu ngomongin aneh aneh tolong baik ya staf staf ai ai oon ya dongo marah banget aing
1,2026-03-04 16:54:55,kena suspend permanent udah akun suspend alas akun bikin besok nya kesuspend permanent masuk voice mana server nya sehat langgar pandu
5,2026-03-04 16:05:08,enak bet main game bicara suara nya lancar banget
5,2026-03-04 15:39:33,tambahin yt music
1,2026-03-04 14:45:45,kena banned alas kali kali usia salah apa
5,2026-03-04 08:20:15,wehehe seru banget nyari server roblox game nya ketemu server pro dapet teman ngajak bicara mabar
1,2026-03-04 07:51:16,gimana sih pas log in salah udah benr nih pas uninstall stuck
1,2026-03-04 06:39:18,masuk server bug verifikasi
1,2026-03-04 05:08:34,lindung privasi nomor telepon guna
4,2026-03-04 03:54:58,awoakwok enak vcs
5,2026-03-03 23:55:15,bagus tolong baik login error mulu login
2,2026-03-03 23:55:07,banyak bahasa inggris susah login
1,2026-03-03 23:45:10,tolong notifikasi batas server anggota
1,2026-03-03 23:29:20,login tulis network is offline pakai wifi lancar lancar tolong baik
1,2026-03-03 21:44:48,hello nih pas log in udh email ny bnr tetep gabisa apalgi pas pencet robot salah pls tolong lahh kemaren ngebug applikasi nya ilang pas log in susahin gin
1,2026-03-03 20:17:08,ganti ceo susah login bjirr
3,2026-03-03 18:02:00,pesan gagal trs pdhal teman log out bs login rare error
3,2026-03-03 17:57:24,ya pake data cht pake wifi gabisa eror hp tolong baik
2,2026-03-03 14:45:13,verif nomor gbs trs on mic ama temen jdi gbs baik sono
4,2026-03-03 11:26:00,woilah ngebug cik gabisa buka voice channel masuk
1,2026-03-03 10:57:29,susah banget kait nya akun google sandi google nya udah udah kali akun google
1,2026-03-03 10:22:22,apa login sulit
3,2026-03-03 09:41:42,mohon maaf bahasa inggris erti coba lengkap pilih bahasa
5,2026-03-03 08:46:10,gatau seru
2,2026-03-03 08:13:27,anjg gw udah bikin akun login emang apk ngentottttt
3,2026-03-03 07:25:16,ubah bahasa indonesia
2,2026-03-03 06:08:26,bicara orang aneh anu tanggal masuk
5,2026-03-03 02:26:47,suka banget ngobrol main bareng youtuber kenal xd
1,2026-03-02 23:15:51,sengaja kasih bintang log out akun log out bikin password lupa password nya pas masuk nomor nya pencet forgot your password abis suruh masuk kode konfirmasi sms kirim paksa bikin akun kecewa data teman akun tolong baik bug coba ubah
1,2026-03-02 17:36:17,daftar masuk ko ribet banget ya kadang gagal nggak kaya daftar instagram daftar otomatis apk guna mesti
1,2026-03-02 14:18:57,pesan loading mulu kaya gangguanh sinyal pdhl aman hadeh
1,2026-03-02 14:12:11,tekeluar langsung display register males
1,2026-03-02 11:22:56,apk titid gw log in kaga bisa memeg gilir udh dah jdi akun nya ulang gejelas ngntod
5,2026-03-02 11:03:34,bagus bs bicara ama teman telpon
4,2026-03-02 11:01:42,bagus dpt info game
4,2026-03-02 10:27:16,suara kresek
1,2026-03-02 10:10:19,login bener nya sih anj password dah bnr salahin anj mending dibikinin login langsung make akun google kyk x dll gin bikin simpel napa
1,2026-03-02 10:04:06,kembali refund transaksi rp
5,2026-03-02 08:50:38,kadang join tmn roblox link game
1,2026-03-02 08:39:17,oke kesel bagi verification required nya udah kasih email ama password nya kali baik
3,2026-03-02 06:05:42,slmenyenangkan
1,2026-03-02 05:18:55,apk gajelas tiba akun suspend hubung cs ai tholol
1,2026-03-02 03:44:17,tidah ku suka karna kasi imel
4,2026-03-02 00:09:27,suka sih main bareng teman chat gitu bikin enak nya ubah bahasa indonesia mohon upgrade apk bahasa indonesia
4,2026-03-01 23:50:34,kasih bahasa indo
5,2026-03-01 21:32:04,terbaekkk
